total_recommend,days_since_earliest,word_count,weekly_recommend,remaining_attributes,status,contract_vip,author_level,total_works,total_creation_words,creation_days
0,65.0,262800,0,"['都市', '都市异能']",1,1,2,4,2250000,506
3,38.0,110800,0,"['都市', '商战职场']",0,1,3,2,910000,199
704,145.0,268000,4,"['体育', '足球运动']",0,1,2,2,1190000,223
24,43.0,117400,0,"['都市', '商战职场']",0,0,0,1,120000,68
15,16.0,36300,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,3,79000,27
414,40.0,138600,0,"['仙侠', '现代修真']",1,0,0,1,140000,28
21,36.0,47300,0,"['玄幻', '异世大陆']",0,0,0,1,47000,15
6,8.0,12500,0,"['仙侠', '幻想修仙']",0,0,0,4,100000,60
24,152.0,625300,0,"['仙侠', '修真文明']",0,1,3,8,2430000,920
14,151.0,40100,9,"['奇幻', '另类幻想']",0,0,0,1,40000,11
95,94.0,59700,0,"['都市', '都市异能']",0,0,0,1,60000,99
8,149.0,467700,0,"['现代言情', '婚恋情缘']",0,1,1,1,470000,125
19,16.0,58700,0,"['玄幻言情', '异世大陆']",0,0,1,2,82000,819
323,152.0,640000,5,"['仙侠', '修真文明']",0,1,1,1,640000,152
15,143.0,27300,0,"['现实生活', '家与情感']",0,0,0,1,27000,136
86,37.0,58900,0,"['浪漫青春', '青春校园']",0,0,0,1,59000,38
36,25.0,73500,0,"['奇幻', '另类幻想']",0,0,0,2,130000,40
13,146.0,15100,3,"['轻小说', '衍生同人', '轻小说']",0,0,1,2,81000,60
33,9.0,40800,0,"['玄幻', '东方玄幻']",0,0,0,1,41000,25
722,94.0,268700,0,"['游戏', '游戏系统']",0,1,1,1,270000,71
16,93.0,395700,0,"['玄幻', '东方玄幻']",1,1,1,1,400000,91
11,0.0,6225,0,"['玄幻', '东方玄幻']",0,0,1,1,6225,18
1623,113.0,367900,3,"['轻小说', '衍生同人', '轻小说']",0,1,1,1,370000,115
70,151.0,132200,0,"['诸天无限', '无限']",0,0,1,1,130000,37
3111,148.0,578300,140,"['诸天无限', '诸天']",0,1,1,1,580000,137
22,11.0,34700,0,"['游戏', '电子竞技']",0,0,0,1,35000,37
0,20.0,30099,0,"['都市', '异术超能']",0,0,1,1,30000,78
63,28.0,45700,0,"['都市', '商战职场']",0,0,0,1,46000,27
6,88.0,4018,0,"['都市', '都市生活']",0,0,0,1,4018,3
2,0.0,2015,0,"['短篇', '短故事']",1,0,0,1,2015,1
8,62.0,33500,0,"['科幻', '星际文明']",0,0,0,1,34000,4
157,23.0,65500,0,"['诸天无限', '无限']",0,0,1,1,66000,21
2,26.0,4042,0,"['科幻', '未来世界']",0,0,0,1,4042,5
2,18.0,2926,0,"['都市', '青春校园']",0,0,0,1,2926,6
0,12.0,51700,0,"['轻小说', '衍生同人', '轻小说']",1,1,1,3,550000,297
8,34.0,14600,0,"['仙侠', '幻想修仙']",0,0,0,1,15000,5
15,2.0,26400,0,"['科幻', '星际文明']",1,0,0,20,890000,245
21,16.0,16800,0,"['浪漫青春', '青春疼痛']",0,0,0,2,23000,13
0,41.0,7715,0,"['浪漫青春', '青春疼痛']",0,0,0,1,7715,3
65,56.0,91500,0,"['玄幻', '异世大陆']",0,0,0,1,92000,88
13,79.0,9114,0,"['科幻空间', '时空穿梭']",0,0,0,1,9114,6
17,152.0,114400,0,"['仙侠', '修真文明']",0,0,0,1,110000,86
6,29.0,6986,0,"['玄幻言情', '异世大陆']",0,0,0,1,6986,5
10,140.0,115100,0,"['玄幻', '东方玄幻']",0,0,0,2,130000,53
84,57.0,36300,0,"['玄幻', '高武世界']",1,0,0,1,36000,20
18,18.0,27400,0,"['仙侠', '幻想修仙']",0,0,0,1,27000,10
13,64.0,35900,0,"['仙侠', '幻想修仙', '轻小说']",0,0,0,0,0,0
273,39.0,22900,0,"['奇幻', '另类幻想']",0,0,0,1,23000,10
3012,152.0,708000,161,"['悬疑', '探险生存']",0,1,4,3,2860000,923
3,12.0,1785,0,"['玄幻', '异世大陆']",0,0,0,2,34000,17
4,147.0,16900,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,2,33000,18
22,140.0,58800,0,"['玄幻', '异世大陆']",0,0,0,1,59000,21
11,70.0,208900,0,"['科幻空间', '时空穿梭']",1,1,1,1,210000,88
37,17.0,114800,0,"['轻小说', '原生幻想', '轻小说']",1,0,0,1,110000,32
16,148.0,15300,0,"['都市', '都市生活']",0,0,0,1,15000,22
22,119.0,72800,0,"['仙侠', '古典仙侠']",0,0,0,1,73000,18
15,10.0,21800,0,"['轻小说', '衍生同人', '轻小说']",0,0,0,1,22000,13
7,12.0,6495,0,"['仙侠', '现代修真']",0,0,0,1,6495,6
204500,152.0,821100,16400,"['玄幻', '东方玄幻']",0,1,5,1,820000,153
13,21.0,6208,0,"['科幻', '末世危机']",0,0,0,2,51000,9
51,31.0,79000,0,"['科幻', '未来世界']",0,0,0,1,79000,16
10,55.0,5363,0,"['玄幻', '异世大陆']",0,0,0,1,5363,5
0,8.0,8889,0,"['现代言情', '都市异能']",0,0,0,1,8889,8
9,21.0,5426,0,"['游戏', '虚拟网游']",0,0,0,1,5426,9
2,17.0,2003,0,"['现实', '青年故事']",0,0,0,1,2003,1
782,113.0,358600,4,"['悬疑', '诡秘悬疑']",0,0,0,2,420000,83
6,150.0,7030,0,"['短篇', '生活随笔']",0,0,0,2,83000,43
2,12.0,7686,0,"['短篇', '短篇小说']",0,0,0,2,130000,36
6,115.0,7597,0,"['轻小说', '其他衍生', '轻小说']",0,0,0,1,7597,13
10,38.0,26100,0,"['玄幻', '异世大陆']",0,0,0,1,26000,10
40,126.0,56500,0,"['仙侠', '神话修真']",0,0,0,1,57000,21
